t	numS	numE	numI	numQ	numR	numD
1	500		10		0		0		0		0
2	500		10		0		0		0		0
3	500		10		0		0		0		0
4	500		10		0		0		0		0
5	500		10		0		0		0		0
6	487		13		10		0		0		0
7	487		13		10		0		0		0
8	487		13		10		0		0		0
9	487		13		10		0		0		0
10	487		13		0		10		0		0
11	467		20		13		10		0		0
12	467		20		13		10		0		0
13	467		20		13		10		0		0
14	467		20		13		10		0		0
15	467		20		1		22		0		0
16	449		18		20		23		0		0
17	449		18		20		23		0		0
18	449		18		20		23		0		0
19	449		18		20		23		0		0
20	449		18		1		42		0		0
21	433		16		19		42		0		0
22	433		16		18		42		1		0
23	433		16		18		39		3		1
24	433		16		18		37		5		1
25	433		16		3		52		5		1
26	412		21		17		48		11		1
27	412		21		16		46		14		1
28	412		21		16		45		15		1
29	412		21		16		42		18		1
30	412		21		3		54		18		2
31	394		18		21		51		23		3
32	394		18		21		47		27		3
33	394		18		21		45		28		4
34	394		18		21		38		33		6
35	394		18		8		51		33		6
36	378		16		20		47		42		7
37	378		16		18		48		43		7
38	378		16		18		45		44		9
39	378		16		18		41		48		9
40	378		16		4		53		48		11
41	358		20		17		42		58		15
42	358		20		16		40		61		15
43	358		20		16		38		63		15
44	358		20		16		38		63		15
45	358		20		5		48		63		16
46	337		21		20		44		72		16
47	337		21		20		42		74		16
48	337		21		20		37		77		18
49	337		21		20		36		78		18
50	337		21		4		52		78		18
51	317		20		22		46		85		20
52	317		20		21		43		88		21
53	317		20		21		42		89		21
54	317		20		21		40		90		22
55	317		20		4		57		90		22
56	293		24		20		49		101		23
57	293		24		20		47		103		23
58	293		24		20		45		105		23
59	293		24		20		43		106		24
60	293		24		8		55		106		24
61	270		23		26		54		112		25
62	270		23		24		51		117		25
63	270		23		24		49		118		26
64	270		23		24		45		122		26
65	270		23		6		62		122		27
66	254		16		25		58		130		27
67	254		16		23		57		133		27
68	254		16		23		52		137		28
69	254		16		23		51		138		28
70	254		16		6		67		138		29
71	242		12		18		52		154		32
72	242		12		16		52		156		32
73	242		12		16		52		156		32
74	242		12		16		52		156		32
75	242		12		4		64		156		32
76	231		11		13		53		170		32
77	231		11		12		46		178		32
78	231		11		12		44		180		32
79	231		11		12		43		180		33
80	231		11		3		52		180		33
81	224		7		13		42		189		35
82	224		7		11		41		191		36
83	224		7		11		38		194		36
84	224		7		11		35		197		36
85	224		7		3		43		197		36
86	221		3		9		32		208		37
87	221		3		8		27		214		37
88	221		3		8		27		214		37
89	221		3		8		25		216		37
90	221		3		3		30		216		37
91	220		1		4		25		222		38
92	220		1		3		23		225		38
93	220		1		3		22		226		38
94	220		1		3		20		228		38
95	220		1		0		23		228		38
96	219		1		1		17		233		39
97	219		1		1		13		237		39
98	219		1		1		12		238		39
99	219		1		1		12		238		39
100	219		1		1		12		238		39
101	219		0		1		6		244		40
102	219		0		1		5		245		40
103	219		0		1		5		245		40
104	219		0		1		5		245		40
105	219		0		0		6		245		40
106	219		0		0		5		246		40
107	219		0		0		5		246		40
108	219		0		0		5		246		40
109	219		0		0		5		246		40
110	219		0		0		5		246		40
111	219		0		0		1		249		41
112	219		0		0		1		249		41
113	219		0		0		1		249		41
114	219		0		0		1		249		41
115	219		0		0		1		249		41
116	219		0		0		1		249		41
117	219		0		0		1		249		41
118	219		0		0		1		249		41
119	219		0		0		1		249		41
120	219		0		0		1		249		41
121	219		0		0		0		250		41
